Part,Positives,Negatives,Effects
Artifact_Part_Ability_AtomBalm,,,"光环伤害 +50%, 光环爆发伤害 +18%, 光环爆发半径 +18% ""增强辐射状态效果光环，使其更大、更致命"""
Artifact_Part_Ability_BloodFrenzy,,,"近战敌人触发激怒，冲刺速度+13%，射速+9%，持续时间10s“”激怒增加你的冲刺速度和射速"""
Artifact_Part_Ability_CausticCoast,,,"滑铲产生腐蚀伤害，额外伤害50%，碎片射速10.0/s“”滑梯会激起在撞击时爆炸的腐蚀性碎片"""
Artifact_Part_Ability_Cauterizer,,,"滑铲产生燃烧伤害，额外伤害73%，水坑冷却10秒“滑梯造成额外燃烧伤害，在撞击时造成岩浆水坑"""
Artifact_Part_Ability_CorrosiveStone,,,"近战增加腐蚀性,额外的伤害+ 80%”“所有近战攻击增加腐蚀性伤害"""
Artifact_Part_Ability_CryoStone,,,"近战增加冰冻伤害，额外伤害+80%“”在所有近身攻击中增加低温伤害"""
Artifact_Part_Ability_ElectricSlide,,,"冲击滑铲，额外伤害73%，弧线目标“”将冲击光束滑动到附近的敌人，可以弧线到附近的其他敌人"""
Artifact_Part_Ability_ElementalOrigin,,,"元素伤害提升，伤害提升+183%“”当受到元素效果时，用相同的元素增加你的伤害"""
Artifact_Part_Ability_FastHands,,,"近战敌人盗取弹药，弹药补充+8%，弹药返还盟友+8%”“造成近战伤害补充弹药"""
Artifact_Part_Ability_FireStone,,,"给近人施放燃烧，额外伤害+80%“”对所有近人攻击增加燃烧伤害"""
Artifact_Part_Ability_FleshMelter,,,"腐蚀性伤害提升，额外伤害+25%，最大叠加次数5，持续时间8.8s“”用腐蚀性武器杀死敌人会在短时间内增加你的腐蚀性武器伤害"""
Artifact_Part_Ability_Grave,,,"弱点在头脑中，近身伤害+100%，武器伤害+20%，飞溅伤害+15%”“生命值低于50%时增加近身伤害，生命值低于20%时增加武器伤害，生命量低于5%时增加飞溅伤害"""
Artifact_Part_Ability_HotDrop,,,"用燃烧弹猛击，猛击额外伤害88%，猛击半径+28%，火球5“”猛击发射燃烧弹，产生玛格玛水坑"""
Artifact_Part_Ability_IceSpiker,,,"低温猛击，猛击额外伤害88%，猛击半径+28%“发射3枚低温弹，伤害并穿过敌人"""
Artifact_Part_Ability_KnifeDrain,,,"使近身受到生命偷移，近身生命偷移+75%“”所有近身攻击都会造成一部分生命伤害"""
Artifact_Part_Ability_LastStand,,,"暂时不受攻击，持续时间5s，冷却时间40s“”生命值降至50%以下时的暂时不受攻击"""
Artifact_Part_Ability_LootExpander,,,"强化拾取，现金+119%，弹药+25%，生命值+43%“”增加你从拾取中获得的现金、生命值和弹药的数量笔记"""
Artifact_Part_Ability_MindMelt,,,"辐射猛击，猛击额外伤害88%，猛击半径+28%，光环持续时间8s“”猛击触发辐射光环跟随你并伤害附近的敌人"""
Artifact_Part_Ability_RadiationStone,,,"使近身受到辐射，额外伤害+80%“”所有近身攻击增加辐射伤害"""
Artifact_Part_Ability_Radiodead,,,"滑铲附带辐射，额外伤害73%，持续时间5秒“”滑梯在撞击时造成额外的辐射伤害，造成有毒水坑"""
Artifact_Part_Ability_Relic,,,"找到更好的战利品，运气+38.00%“”增加找到稀有战利品的几率"""
Artifact_Part_Ability_ShatterRig,,,"Vs冰冻，额外伤害+35%，冰冻效率+50%“”增加对冰冻目标的伤害"""
Artifact_Part_Ability_ShockStone,,,"使近战受到冲击，额外伤害+80%“”对所有近战攻击增加冲击伤害"""
Artifact_Part_Ability_SparkPlug,,,"电击猛击，猛击额外伤害88%，猛击半径+28%，持续时间8s“”猛击植入带电线圈，对附近敌人造成电击伤害"""
Artifact_Part_Ability_ToxicRevenger,,,"腐蚀性猛击，猛击额外伤害88%，猛击半径+28%，水坑持续时间5s“”猛击在撞击时会产生一个大的腐蚀性水坑"""
Artifact_Part_Ability_CommanderPlanetoid,,,当你近身攻击敌人时，造成69%的额外元素伤害。元素类型每5秒变化一次
Artifact_Part_Ability_CosmicCrater,,,猛击造成一个持续5秒的随机水坑
Artifact_Part_Ability_Deathless,,,"保留除1点生命值外的所有生命值，+100%护盾容量，+25%护盾充电率，-20%护盾充值延迟"
Artifact_Part_Ability_ElDragonJr,,,“释放El Dragon的力量，近身点燃几率100%，滑铲点燃几率100%、地猛击点燃几率100%"
Artifact_Part_Ability_ElectricBanjo,,,"星力，子弹前进几率+20%"
Artifact_Part_Ability_LoadedDice,,,"75最大生命值大大增加你的运气"
Artifact_Part_Ability_MoxxisEndowment,,,+8%战斗经验
Artifact_Part_Ability_OttoIdol,,,杀死时恢复18%的生命值
Artifact_Part_Ability_PhoenixTears,,,"起来！，回复的生命值100%"
